RESULTS for no_load analysis
launched at 18:43:18 on 2016/08/08 by Giacomo on test.

thm        torque       stator torque      lambda_a         lambda_b         lambda_c       lambda_d        lambda_q      

-5.00    -1.36739e-003    -2.00132e-002    8.06368e-003    -5.38065e-003    -1.79503e-003    8.03880e-003    1.08030e-005    
-4.00    2.84224e-002    2.28086e-002    8.24131e-003    -5.01516e-003    -1.97846e-003    8.01893e-003    -8.79303e-005    
-3.00    1.73096e-001    -2.91727e-001    8.41260e-003    -4.65081e-003    -2.16120e-003    8.00692e-003    -1.87122e-004    
-2.00    4.50395e-001    -2.52487e-001    8.56909e-003    -4.28844e-003    -2.34280e-003    7.99716e-003    -2.88967e-004    
-1.00    6.88241e-001    -6.52144e-001    8.68662e-003    -3.93379e-003    -2.52055e-003    7.97434e-003    -3.99136e-004    
0.00    1.40218e-002    8.70186e-002    8.72957e-003    -3.58897e-003    -2.69238e-003    7.91350e-003    -5.17651e-004    
1.00    -7.21438e-001    6.12932e-001    8.68641e-003    -3.24484e-003    -2.86436e-003    7.80511e-003    -6.29025e-004    
2.00    -4.73423e-001    5.59785e-001    8.56880e-003    -2.89051e-003    -3.04146e-003    7.65684e-003    -7.17137e-004    
3.00    -2.25725e-001    3.49550e-001    8.41349e-003    -2.52791e-003    -3.22215e-003    7.49573e-003    -7.81389e-004    
4.00    -8.49067e-002    1.42922e-001    8.24256e-003    -2.16168e-003    -3.40386e-003    7.33871e-003    -8.26694e-004    
5.00    -5.65199e-003    5.38528e-002    8.06468e-003    -1.79562e-003    -3.58520e-003    7.19316e-003    -8.57737e-004    
