RESULTS for no_load analysis
launched at 17:54:40 on 2016/08/08 by Giacomo on test.

thm        torque       stator torque      lambda_a         lambda_b         lambda_c       

0.00    -2.38903e-003    5.74317e-002    8.72941e+000    -3.58945e+000    -3.14120e+000    
1.00    -7.16254e-001    6.62476e-001    8.68624e+000    -3.24538e+000    -3.39902e+000    
2.00    -4.73535e-001    5.24910e-001    8.56853e+000    -2.89038e+000    -3.66470e+000    
3.00    -2.06973e-001    2.71565e-001    8.41346e+000    -2.52809e+000    -3.93661e+000    
4.00    -8.16392e-002    1.12201e-001    8.24226e+000    -2.16169e+000    -4.20927e+000    
5.00    -6.06074e-003    2.93897e-002    8.06421e+000    -1.79555e+000    -4.48207e+000    
6.00    6.28156e-002    -3.29959e-002    7.88103e+000    -1.42861e+000    -4.75327e+000    
7.00    1.84513e-001    -1.39927e-001    7.69451e+000    -1.06333e+000    -5.02175e+000    
8.00    4.72842e-001    -4.87668e-001    7.50150e+000    -7.00046e-001    -5.28065e+000    
9.00    7.10079e-001    -7.27739e-001    7.29437e+000    -3.44798e-001    -5.51753e+000    
10.00    -2.04229e-002    7.10842e-002    7.05709e+000    -1.87771e-004    -5.71102e+000    
11.00    -7.27378e-001    7.39003e-001    6.77723e+000    3.44689e-001    -5.86152e+000    
12.00    -4.91662e-001    4.92343e-001    6.45205e+000    6.99885e-001    -5.98021e+000    
13.00    -2.02689e-001    2.03065e-001    6.10224e+000    1.06338e+000    -6.08315e+000    
14.00    -8.91890e-002    1.46260e-001    5.74281e+000    1.42817e+000    -6.17936e+000    
15.00    -3.02909e-002    7.38962e-002    5.37984e+000    1.79512e+000    -6.27153e+000    
16.00    8.18429e-002    -9.47859e-002    5.01588e+000    2.16158e+000    -6.35958e+000    
17.00    1.83871e-001    -1.85209e-001    4.65135e+000    2.52774e+000    -6.44305e+000    
18.00    4.67893e-001    -4.13562e-001    4.28901e+000    2.88998e+000    -6.51423e+000    
19.00    7.16572e-001    -7.36603e-001    3.93389e+000    3.24609e+000    -6.55826e+000    
